G,Date,Year,Series,Tm,Home,Opp,GameNum,Result,Diff,GS,MP,FG,FGA,FG.Pct,3P,3PA,3P.Pct,FT,FTA,FT.Pct,RB,AST,STL,BLK,TOV,PF,PTS,GmSc
6,5/10/1988,1988,ECS,CHI,0,DET,1,L ,-11,1,40:00:00,10,22,0.455,0,1,0,9,10,0.9,11,6,0,1,5,4,29,20.8
7,5/12/1988,1988,ECS,CHI,0,DET,2,W ,10,1,44:00:00,14,22,0.636,0,0,,8,10,0.8,11,1,1,1,2,5,36,28.7
8,5/14/1988,1988,ECS,CHI,1,DET,3,L ,-22,1,38:00:00,8,20,0.4,0,0,,8,9,0.889,7,3,1,1,5,3,24,12.9
9,5/15/1988,1988,ECS,CHI,1,DET,4,L ,-19,1,45:00:00,11,22,0.5,0,0,,1,2,0.5,7,5,6,0,3,0,23,21
10,5/18/1988,1988,ECS,CHI,0,DET,5,L ,-7,1,43:00:00,10,22,0.455,1,2,0.5,4,7,0.571,8,8,2,0,3,4,25,18.6
1,4/28/1989,1989,EC1,CHI,0,CLE,1,W ,7,1,40:00:00,12,21,0.571,0,1,0,7,8,0.875,5,11,4,1,6,5,31,26.6
2,4/30/1989,1989,EC1,CHI,0,CLE,2,L ,-8,1,44:00:00,10,22,0.455,0,1,0,10,10,1,5,10,2,0,7,2,30,22.5
3,5/3/1989,1989,EC1,CHI,1,CLE,3,W ,7,1,39:00:00,18,34,0.529,1,1,1,7,9,0.778,7,10,5,1,5,4,44,35.6
4,5/5/1989,1989,EC1,CHI,1,CLE,4,L ,-3,1,43:00:00,14,28,0.5,0,1,0,22,27,0.815,3,4,3,0,1,6,50,37.3
5,5/7/1989,1989,EC1,CHI,0,CLE,5,W ,1,1,44:00:00,17,32,0.531,1,1,1,9,13,0.692,9,6,1,0,2,3,44,32.7
6,5/9/1989,1989,ECS,CHI,0,NYK,1,W ,11,1,46:00:00,11,17,0.647,1,2,0.5,11,11,1,10,12,2,0,6,5,34,32.7
7,5/11/1989,1989,ECS,CHI,0,NYK,2,L ,-17,1,34:00:00,7,17,0.412,0,2,0,1,4,0.25,8,3,1,0,1,4,15,8.4
8,5/13/1989,1989,ECS,CHI,1,NYK,3,W ,23,1,39:00:00,14,25,0.56,1,2,0.5,11,13,0.846,15,9,6,1,3,3,40,41.4
9,5/14/1989,1989,ECS,CHI,1,NYK,4,W ,13,1,42:00:00,12,18,0.667,0,1,0,23,28,0.821,11,6,1,2,6,3,47,39.9
10,5/16/1989,1989,ECS,CHI,0,NYK,5,L ,-7,1,43:00:00,13,30,0.433,1,3,0.333,11,15,0.733,8,10,5,1,3,2,38,33.9
11,5/19/1989,1989,ECS,CHI,1,NYK,6,W ,2,1,45:00:00,14,22,0.636,1,3,0.333,11,12,0.917,5,10,0,4,6,3,40,34.3
12,5/21/1989,1989,ECF,CHI,0,DET,1,W ,6,1,45:00:00,10,29,0.345,2,6,0.333,10,13,0.769,11,4,0,0,3,5,32,16.4
13,5/23/1989,1989,ECF,CHI,0,DET,2,L ,-9,1,38:00:00,9,20,0.45,0,2,0,9,11,0.818,4,4,2,1,4,5,27,16.9
14,5/27/1989,1989,ECF,CHI,1,DET,3,W ,2,1,45:00:00,16,26,0.615,0,3,0,14,15,0.933,7,5,5,0,2,2,46,42.8
15,5/29/1989,1989,ECF,CHI,1,DET,4,L ,-6,1,43:00:00,5,15,0.333,1,3,0.333,12,17,0.706,2,4,1,0,1,5,23,13.9
